plantID,species,type,functional_group,height,herbivory_low,herbivory_med,herbivory_high,sampler
n24,Epilobium angustifolium,Native,herb,96.6,40-50%,30-40%,20-30%,Jack
n25,Solidago canadensis,Native,herb,94.3,50-60%,50-60%,40-50%,Casey
n26,Rubus spectabilis,Native,shrub,130.5,60-70%,60-70%,40-50%,Jack
n27,Camassia quamash,Native,herb,38.1,20-30%,20-30%,10-20%,Casey
n28,Solidago canadensis,Native,herb,99.1,30-40%,20-30%,20-30%,Casey
n29,Solidago canadensis,Native,herb,98.2,40-50%,30-40%,40-50%,Casey
n30,Achillea millefolium,Native,herb,45.8,20-30%,10-20%,20-30%,Casey
n31,Symphyotrichum subspicatum,Native,herb,70.6,30-40%,30-40%,20-30%,Ching
n32,Achillea millefolium,Native,herb,51.5,40-50%,30-40%,30-40%,Jack
n33,Achillea millefolium,Native,herb,50.9,40-50%,40-50%,30-40%,Ching
n34,Gaultheria shallon,Native,shrub,56.5,30-40%,40-50%,30-40%,Casey
n35,Gaultheria shallon,Native,shrub,54.0,40-50%,30-40%,30-40%,Ching
n36,Rubus spectabilis,Native,shrub,172.3,50-60%,50-60%,40-50%,Jack
n37,Epilobium angustifolium,Native,herb,122.2,50-60%,40-50%,30-40%,Jack
n38,Achillea millefolium,Native,herb,32.5,30-40%,30-40%,20-30%,Casey
n39,Symphyotrichum subspicatum,Native,herb,46.2,30-40%,30-40%,20-30%,Ching
n40,Solidago canadensis,Native,herb,80.0,50-60%,50-60%,30-40%,Ching
n41,Achillea millefolium,Native,herb,64.9,50-60%,50-60%,40-50%,Ching
n42,Solidago canadensis,Native,herb,91.6,40-50%,40-50%,20-30%,Jack
n43,Achillea millefolium,Native,herb,38.6,40-50%,40-50%,40-50%,Jack
n44,Vaccinium ovatum,Native,shrub,72.4,40-50%,40-50%,40-50%,Ching
n45,Camassia quamash,Native,herb,34.8,30-40%,20-30%,30-40%,Jack
i1,Taraxacum officinale,Introduced,herb,30.3,30-40%,20-30%,20-30%,Jack
i2,Cytisus scoparius,Introduced,shrub,159.9,20-30%,20-30%,20-30%,Ching
i3,Cytisus scoparius,Introduced,shrub,124.2,20-30%,20-30%,20-30%,Jack
i4,Taraxacum officinale,Introduced,herb,25.9,40-50%,20-30%,20-30%,Ching
i5,Cytisus scoparius,Introduced,shrub,131.7,20-30%,20-30%,20-30%,Ching
i6,Bellis perennis,Introduced,herb,14.2,30-40%,20-30%,30-40%,Casey
i7,Hedera helix,Introduced,shrub,56.1,20-30%,20-30%,10-20%,Ching
i8,Hedera helix,Introduced,shrub,48.3,20-30%,10-20%,0-10%,Jack
i9,Taraxacum officinale,Introduced,herb,21.2,20-30%,20-30%,20-30%,Casey
i10,Bellis perennis,Introduced,herb,17.2,10-20%,10-20%,0-10%,Ching
i11,Hedera helix,Introduced,shrub,32.3,10-20%,10-20%,10-20%,Casey
i12,Cytisus scoparius,Introduced,shrub,162.9,20-30%,10-20%,10-20%,Jack
i13,Buxus sempervirens,Introduced,shrub,57.1,10-20%,20-30%,20-30%,Ching
i14,Hedera helix,Introduced,shrub,46.3,20-30%,10-20%,10-20%,Jack
i15,Taraxacum officinale,Introduced,herb,22.6,20-30%,20-30%,20-30%,Casey
i16,Taraxacum officinale,Introduced,herb,28.5,40-50%,20-30%,30-40%,Ching
i17,Hedera helix,Introduced,shrub,49.5,30-40%,20-30%,20-30%,Casey
i18,Taraxacum officinale,Introduced,herb,13.7,10-20%,10-20%,10-20%,Casey
i19,Cytisus scoparius,Introduced,shrub,190.0,20-30%,10-20%,20-30%,Ching
i20,Lolium perenne,Introduced,herb,26.2,40-50%,30-40%,10-20%,Casey
i21,Cytisus scoparius,Introduced,shrub,176.1,20-30%,0-10%,0-10%,Jack
i22,Bellis perennis,Introduced,herb,16.5,10-20%,20-30%,0-10%,Casey
i23,Hedera helix,Introduced,shrub,46.0,20-30%,20-30%,0-10%,Jack
i24,Cytisus scoparius,Introduced,shrub,99.1,30-40%,20-30%,30-40%,Jack
i25,Cytisus scoparius,Introduced,shrub,143.1,30-40%,30-40%,30-40%,Casey
i26,Lolium perenne,Introduced,herb,33.3,30-40%,30-40%,10-20%,Jack
i27,Bellis perennis,Introduced,herb,18.4,10-20%,10-20%,0-10%,Ching
i28,Lolium perenne,Introduced,herb,33.2,30-40%,20-30%,30-40%,Jack
i29,Buxus sempervirens,Introduced,shrub,46.2,0-10%,0-10%,0-10%,Jack
i30,Plantago lanceolata,Introduced,herb,15.4,20-30%,20-30%,20-30%,Jack
i31,Taraxacum officinale,Introduced,herb,18.6,10-20%,10-20%,20-30%,Ching
i32,Taraxacum officinale,Introduced,herb,18.4,20-30%,20-30%,20-30%,Ching
i33,Taraxacum officinale,Introduced,herb,18.2,10-20%,30-40%,10-20%,Ching
i34,Taraxacum officinale,Introduced,herb,19.6,20-30%,20-30%,20-30%,Casey
i35,Hedera helix,Introduced,shrub,55.7,10-20%,10-20%,0-10%,Ching
i36,Taraxacum officinale,Introduced,herb,16.2,40-50%,30-40%,30-40%,Jack
i37,Bellis perennis,Introduced,herb,17.4,50-60%,30-40%,30-40%,Ching
i38,Buxus sempervirens,Introduced,shrub,43.9,10-20%,0-10%,0-10%,Ching
i39,Taraxacum officinale,Introduced,herb,18.0,40-50%,30-40%,40-50%,Jack
i40,Prunus laurocerasus,Introduced,shrub,136.7,20-30%,10-20%,0-10%,Casey
i41,Plantago lanceolata,Introduced,herb,26.4,10-20%,20-30%,20-30%,Ching
i42,Taraxacum officinale,Introduced,herb,16.7,20-30%,20-30%,10-20%,Casey
i43,Hedera helix,Introduced,shrub,38.1,10-20%,10-20%,10-20%,Casey
i44,Hedera helix,Introduced,shrub,44.9,10-20%,10-20%,10-20%,Casey
i45,Buxus sempervirens,Introduced,shrub,50.2,20-30%,0-10%,10-20%,Jack
